ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sul,SC,4204301,Interior,Municipal,Urbana,327.753073,346.328623,Masculino,Parda,Maio,2002,"Sim, um",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3170529,Interior,Municipal,Rural,186.051016,175.449736,Feminino,Parda,Julho,2002,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Ainda não sei
2017,Nordeste,MA,2104008,Interior,Municipal,Rural,210.485253,221.617357,Masculino,Parda,Julho,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Mais de 3 horas,Não,Somente continuar estudando
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,181.606524,180.057443, ,Preta,Agosto,2002,"Sim, dois",Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Menos de 1 hora,Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
2017,Norte,AM,1302603,Capital,Municipal,Rural,318.583995,233.010394,Feminino,Parda,Julho,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2303006,Interior,Municipal,Urbana,305.542569,260.436815,Feminino,Preta,Outubro,2003,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Menos de 1 hora,Entre 1 e 2 horas,Não,Ainda não sei
2017,Sudeste,SP,3528007,Interior,Estadual,Urbana,265.159024,265.042119,Feminino,Branca,Janeiro,2002,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Nordeste,PE,2613701,Interior,Municipal,Urbana,267.185138,182.079125,Feminino,Branca,Fevereiro,2003,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3548708,Interior,Estadual,Urbana,258.847859,252.761401,Feminino,Não quero declarar,Maio,2003,"Sim, quatro ou mais",Completou a Faculdade,Não sei,Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,BA,2915700,Interior,Municipal,Urbana,173.779189,159.581345, ,Não quero declarar,Agosto,2000,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Entre 1 e 2 horas,Não faço trabalhos domésticos,Sim,Somente trabalhar
2017,Sudeste,RJ,3301009,Interior,Estadual,Urbana,159.094605,189.780249,Feminino,Parda,Outubro,2001,Não tem,Completou a Faculdade,Não sei,Entre 1 e 2 horas,Mais de 3 horas,Sim,Continuar estudando e trabalhar
